
PRODUTO;DESC PRODUTO;UNIDADE;CME;DEPOSITO;QTDE;PESO          ;VALOR;VALOR DESP-ACESS-T;VALOR IPI;VALOR ICMS-ST;VALOR ICMS;VALOR PIS;VALOR COFINS;VALOR UNIT.BR;PRECO MEDIO BR;PRECO MEDIO LI;DATA MOVTO;NUMERO NF;SERIE NF;PEDIDO;CLIENTE;DESC CLIENTE;CFOP;ORIGEM;DESC-ORIGEM;VENDEDOR;DESC VENDEDOR;MOEDA;EMPRESA;FILIAL;GRUPO CLIENTE;DESC GRUPO CLIENTE;REGIAO CLIENTE;DESC REGIAO CLIENTE;ESTADO;CIDADE;CENTRO CUSTO;DESC CENTRO CUSTO;VENDEDOR EXTERNO;DESC VENDEDOR EXTERNO;TRANSPORTADOR;DESC TRANSPORTADOR;TIPO FRETE;DESC TIPO FRETE;GRUPO;DESC GRUPO;SUBGRUPO;DESC SUBGRUPO;LINHA;DESC LINHA;NCM;VALOR UNITARIO;VALOR DESCONTO;CUSTO MEDIO;CONDICAO PGTO;PRAZO MEDIO;DESCRICAO COMPLEMENTAR;NRO OC CLIENTE;CONTA GERENCIAL;OBS PEDIDO;VALOR-LIQ-AUX;IPI DEVOLVIDO;VALOR TOTAL NF;DESC. CONDICAO PGTO;DESC. CONTA GERENCIAL;VALOR-IBS-UF;VALOR-IBS-MUN;VALOR-CBS;
5306              ;PAPINHA PAPAPA ORGANICA MACA E MORANGO 100G                 ;CX ;210;12    ;        10,000;         12         ;            748,80;              0,00;              0,00;              0,00;             29,95;             11,86;             54,63;          6,240;         62,400;         62,400;31/08/26;   148380/;NE ;150163/00;C62021;KDR COMERCIAL LTDA                      ;6102;102;REVENDA DE PRODUTOS           ;V00072;PEDRO BORN                              ; ;  1;  1;   4;ESPECIAIS                     ;  6;ESPECIAIS - BR                ;SP;SAO PAULO           ; 1500;ESPECIAL                      ;V00072;PEDRO BORN                              ;T00222;TRANSPORTES TRANSLOV                    ;1;CIF     ;  1;PAPINHAS                      ;  1;DOCES                         ;1  ;PAPINHAS DE FRUTAS            ;21042000            ;             74,88;              0,00;            214,30;166;       37,50;                                        ;                              ;01.01.001;Orcamento 150163/50;             652,36;              ;            748,80;30/45 DIAS DA N.F BOLETO                ;RECEITA BRUTA                           ;              0,65;              0,00;              5,87;
17898994908736    ;PAPINHA PAPAPA ORGANICA BANANA MIRTILO QUINOA 100G          ;CX ;210;12    ;         4,000;          4,800     ;            299,52;              0,00;              0,00;              0,00;             11,98;              4,74;             21,85;         15,600;         62,400;         62,400;31/08/26;   148380/;NE ;150163/00;C62021;KDR COMERCIAL LTDA                      ;6102;102;REVENDA DE PRODUTOS           ;V00072;PEDRO BORN                              ; ;  1;  1;   4;ESPECIAIS                     ;  6;ESPECIAIS - BR                ;SP;SAO PAULO           ; 1500;ESPECIAL                      ;V00072;PEDRO BORN                              ;T00222;TRANSPORTES TRANSLOV                    ;1;CIF     ;  1;PAPINHAS                      ;  1;DOCES                         ;1  ;PAPINHAS DE FRUTAS            ;21042000            ;             74,88;              0,00;            109,08;166;       37,50;                                        ;                              ;01.01.001;Orcamento 150163/50;             260,95;              ;            299,52;30/45 DIAS DA N.F BOLETO                ;RECEITA BRUTA                           ;              0,26;              0,00;              2,35;
5566              ;PAPINHA PAPAPA IOGURTE, FRUTAS AMARELAS E BANANA 100G       ;CX ;210;12    ;         2,000;          3,200     ;            199,68;              0,00;              0,00;              0,00;              7,99;              3,16;             14,57;         31,200;         62,400;         62,400;31/08/26;   148386/;NE ;150254/00;C64669;62.626.368 ANGELA AP                    ;6102;102;REVENDA DE PRODUTOS           ;V00072;PEDRO BORN                              ; ;  1;  1;   4;ESPECIAIS                     ;  6;ESPECIAIS - BR                ;RS;VACARIA             ; 1500;ESPECIAL                      ;V00072;PEDRO BORN                              ;T00222;TRANSPORTES TRANSLOV                    ;1;CIF     ;  1;PAPINHAS                      ;  1;DOCES                         ;18 ;YOGUZINHO                     ;21042000            ;             99,84;              0,00;             53,79;002;       45,00;                                        ;                              ;01.01.001;Orcamento 150254/50;             173,96;              ;            199,68;30/45/60 DA DATA DA N.F BOLETO          ;RECEITA BRUTA                           ;              0,17;              0,00;              1,57;
5573              ;PAPINHA PAPAPA IOGURTE, FRUTAS VERMELHAS E BANANA 100G      ;CX ;210;12    ;         2,000;          3,200     ;            199,68;              0,00;              0,00;              0,00;              7,99;              3,16;             14,57;         31,200;         62,400;         62,400;31/08/26;   148386/;NE ;150254/00;C64669;62.626.368 ANGELA AP                    ;6102;102;REVENDA DE PRODUTOS           ;V00072;PEDRO BORN                              ; ;  1;  1;   4;ESPECIAIS                     ;  6;ESPECIAIS - BR                ;RS;VACARIA             ; 1500;ESPECIAL                      ;V00072;PEDRO BORN                              ;T00222;TRANSPORTES TRANSLOV                    ;1;CIF     ;  1;PAPINHAS                      ;  1;DOCES                         ;18 ;YOGUZINHO                     ;21042000            ;             99,84;              0,00;             54,44;002;       45,00;                                        ;                              ;01.01.001;Orcamento 150254/50;             173,96;              ;            199,68;30/45/60 DA DATA DA N.F BOLETO          ;RECEITA BRUTA                           ;              0,17;              0,00;              1,57;
17898994908729    ;PAPINHA PAPAPA ORGANICA MACA AMEIXA 100G                    ;CX ;210;12    ;         2,000;          2,400     ;            149,76;              0,00;              0,00;              0,00;              5,99;              2,37;             10,93;         31,200;         62,400;         62,400;31/08/26;   148386/;NE ;150254/00;C64669;62.626.368 ANGELA AP                    ;6102;102;REVENDA DE PRODUTOS           ;V00072;PEDRO BORN                              ; ;  1;  1;   4;ESPECIAIS                     ;  6;ESPECIAIS - BR                ;RS;VACARIA             ; 1500;ESPECIAL                      ;V00072;PEDRO BORN                              ;T00222;TRANSPORTES TRANSLOV                    ;1;CIF     ;  1;PAPINHAS                      ;  1;DOCES                         ;1  ;PAPINHAS DE FRUTAS            ;21042000            ;             74,88;              0,00;             36,71;002;       45,00;                                        ;                              ;01.01.001;Orcamento 150254/50;             130,47;              ;            149,76;30/45/60 DA DATA DA N.F BOLETO          ;RECEITA BRUTA                           ;              0,13;              0,00;              1,17;
17898994908736    ;PAPINHA PAPAPA ORGANICA BANANA MIRTILO QUINOA 100G          ;CX ;210;12    ;         2,000;          2,400     ;            149,76;              0,00;              0,00;              0,00;              5,99;              2,37;             10,93;         31,200;         62,400;         62,400;31/08/26;   148386/;NE ;150254/00;C64669;62.626.368 ANGELA AP                    ;6102;102;REVENDA DE PRODUTOS           ;V00072;PEDRO BORN                              ; ;  1;  1;   4;ESPECIAIS                     ;  6;ESPECIAIS - BR                ;RS;VACARIA             ; 1500;ESPECIAL                      ;V00072;PEDRO BORN                              ;T00222;TRANSPORTES TRANSLOV                    ;1;CIF     ;  1;PAPINHAS                      ;  1;DOCES                         ;1  ;PAPINHAS DE FRUTAS            ;21042000            ;             74,88;              0,00;             54,51;002;       45,00;                                        ;                              ;01.01.001;Orcamento 150254/50;             130,47;              ;            149,76;30/45/60 DA DATA DA N.F BOLETO          ;RECEITA BRUTA                           ;              0,13;              0,00;              1,17;
17898994908712    ;PAPINHA PAPAPA ORGANICA MANGA 100G                          ;CX ;210;12    ;         2,000;          2,400     ;            149,76;              0,00;              0,00;              0,00;              5,99;              2,37;             10,93;         31,200;         62,400;         62,400;31/08/26;   148386/;NE ;150254/00;C64669;62.626.368 ANGELA AP                    ;6102;102;REVENDA DE PRODUTOS           ;V00072;PEDRO BORN                              ; ;  1;  1;   4;ESPECIAIS                     ;  6;ESPECIAIS - BR                ;RS;VACARIA             ; 1500;ESPECIAL                      ;V00072;PEDRO BORN                              ;T00222;TRANSPORTES TRANSLOV                    ;1;CIF     ;  1;PAPINHAS                      ;  1;DOCES                         ;1  ;PAPINHAS DE FRUTAS            ;21042000            ;             74,88;              0,00;             49,22;002;       45,00;                                        ;                              ;01.01.001;Orcamento 150254/50;             130,47;              ;            149,76;30/45/60 DA DATA DA N.F BOLETO          ;RECEITA BRUTA                           ;              0,13;              0,00;              1,17;
17898994908750    ;PAPINHA PAPAPA ORGANICA PERA ESPINAFRE ABOBRINHA 100G       ;CX ;210;12    ;         2,000;          2,400     ;            149,76;              0,00;              0,00;              0,00;              5,99;              2,37;             10,93;         31,200;         62,400;         62,400;31/08/26;   148386/;NE ;150254/00;C64669;62.626.368 ANGELA AP                    ;6102;102;REVENDA DE PRODUTOS           ;V00072;PEDRO BORN                              ; ;  1;  1;   4;ESPECIAIS                     ;  6;ESPECIAIS - BR                ;RS;VACARIA             ; 1500;ESPECIAL                      ;V00072;PEDRO BORN                              ;T00222;TRANSPORTES TRANSLOV                    ;1;CIF     ;  1;PAPINHAS                      ;  1;DOCES                         ;1  ;PAPINHAS DE FRUTAS            ;21042000            ;             74,88;              0,00;             39,34;002;       45,00;                                        ;                              ;01.01.001;Orcamento 150254/50;             130,47;              ;            149,76;30/45/60 DA DATA DA N.F BOLETO          ;RECEITA BRUTA                           ;              0,13;              0,00;              1,17;
27898994908757    ;PAPINHA PAPAPA ORGANICA MACA BATATA DOCE CENOURA 100G       ;CX ;210;12    ;         2,000;          2,400     ;            149,76;              0,00;              0,00;              0,00;              5,99;              2,37;             10,93;         31,200;         62,400;         62,400;31/08/26;   148386/;NE ;150254/00;C64669;62.626.368 ANGELA AP                    ;6102;102;REVENDA DE PRODUTOS           ;V00072;PEDRO BORN                              ; ;  1;  1;   4;ESPECIAIS                     ;  6;ESPECIAIS - BR                ;RS;VACARIA             ; 1500;ESPECIAL                      ;V00072;PEDRO BORN                              ;T00222;TRANSPORTES TRANSLOV                    ;1;CIF     ;  1;PAPINHAS                      ;  1;DOCES                         ;1  ;PAPINHAS DE FRUTAS            ;21042000            ;             74,88;              0,00;             38,24;002;       45,00;                                        ;                              ;01.01.001;Orcamento 150254/50;             130,47;              ;            149,76;30/45/60 DA DATA DA N.F BOLETO          ;RECEITA BRUTA                           ;              0,13;              0,00;              1,17;
5306              ;PAPINHA PAPAPA ORGANICA MACA E MORANGO 100G                 ;CX ;210;12    ;         2,000;          2,400     ;            149,76;              0,00;              0,00;              0,00;              5,99;              2,37;             10,93;         31,200;         62,400;         62,400;31/08/26;   148386/;NE ;150254/00;C64669;62.626.368 ANGELA AP                    ;6102;102;REVENDA DE PRODUTOS           ;V00072;PEDRO BORN                              ; ;  1;  1;   4;ESPECIAIS                     ;  6;ESPECIAIS - BR                ;RS;VACARIA             ; 1500;ESPECIAL                      ;V00072;PEDRO BORN                              ;T00222;TRANSPORTES TRANSLOV                    ;1;CIF     ;  1;PAPINHAS                      ;  1;DOCES                         ;1  ;PAPINHAS DE FRUTAS            ;21042000            ;             74,88;              0,00;             42,86;002;       45,00;                                        ;                              ;01.01.001;Orcamento 150254/50;             130,47;              ;            149,76;30/45/60 DA DATA DA N.F BOLETO          ;RECEITA BRUTA                           ;              0,13;              0,00;              1,17;
